
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
LB,"L Brands, Inc.",3745392,TRIMA[50]_price_crossover,Buy,$19.59,n/a,n/a,"1:3_ATR[20]",100.0%,3.66%,3.68%,38.05,16.00,9.1,https://arizet.com/quantumstocks/#v/pl/tk/LB/sn/TRIMA[50]_price_crossover/sg/Buy/bk/TRIMA[50]_price_crossover_Buy_LB_1:3_ATR[20]_m24/tp/Ticker/
XLRN,"Acceleron Pharma Inc.",279182,ACCBANDS[50]_counter_trend,Buy,$39.51,n/a,n/a,"1:3_ATR[20]",100.0%,5.23%,4.82%,19.40,15.00,7.5,https://arizet.com/quantumstocks/#v/pl/tk/XLRN/sn/ACCBANDS[50]_counter_trend/sg/Buy/bk/ACCBANDS[50]_counter_trend_Buy_XLRN_1:3_ATR[20]_m24/tp/Ticker/
AJG,"Arthur J. Gallagher & Co.",538335,WMA[100]_price_crossover,Buy,$89.57,n/a,n/a,"1:3_ATR[20]",100.0%,1.63%,1.66%,22.70,16.00,7.8,https://arizet.com/quantumstocks/#v/pl/tk/AJG/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Buy_AJG_1:3_ATR[20]_m24/tp/Ticker/
AJG,"Arthur J. Gallagher & Co.",538335,WMA[100]_price_crossover,Buy,$89.57,n/a,n/a,"2:3_ATR[20]",100.0%,2.93%,2.89%,12.41,15.00,14.7,https://arizet.com/quantumstocks/#v/pl/tk/AJG/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Buy_AJG_2:3_ATR[20]_m24/tp/Ticker/
AJG,"Arthur J. Gallagher & Co.",538335,WMA[100]_price_crossover,Buy,$89.57,n/a,n/a,"exit_after_20_days",100.0%,5.25%,4.94%,6.64,15.00,29.5,https://arizet.com/quantumstocks/#v/pl/tk/AJG/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Buy_AJG_exit_after_20_days_m24/tp/Ticker/
ARWR,"Arrowhead Pharmaceuticals, Inc.",1348125,RSI[5]_crosses_back_70_30_levels,Buy,$28.18,n/a,n/a,"1:3_ATR[20]",100.0%,6.85%,6.87%,20.41,20.00,10.3,https://arizet.com/quantumstocks/#v/pl/tk/ARWR/sn/RSI[5]_crosses_back_70_30_levels/sg/Buy/bk/RSI[5]_crosses_back_70_30_levels_Buy_ARWR_1:3_ATR[20]_m24/tp/Ticker/
ASGN,"ASGN Incorporated",306754,CMO[21]_crosses_0_level,Buy,$62.86,n/a,n/a,"1:3_ATR[20]",100.0%,2.67%,2.63%,32.46,15.00,6.1,https://arizet.com/quantumstocks/#v/pl/tk/ASGN/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_ASGN_1:3_ATR[20]_m24/tp/Ticker/
ASGN,"ASGN Incorporated",306754,EMA[50]_price_crossover,Buy,$62.86,n/a,n/a,"1:3_ATR[20]",100.0%,2.61%,2.55%,33.47,16.00,8.4,https://arizet.com/quantumstocks/#v/pl/tk/ASGN/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_ASGN_1:3_ATR[20]_m24/tp/Ticker/
ASTC,"Astrotech Corporation",36179,ZIGZAGHL[3_3_0_10]_mean_reversion,Buy,$1.77,n/a,n/a,"1:3_ATR[20]",97.5%,9.94%,10.37%,13.74,40.00,7.9,https://arizet.com/quantumstocks/#v/pl/tk/ASTC/sn/ZIGZAGHL[3_3_0_10]_mean_reversion/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_mean_reversion_Buy_ASTC_1:3_ATR[20]_m24/tp/Ticker/
ASTC,"Astrotech Corporation",36179,ZIGZAGHL[5_15_0_7]_mean_reversion,Buy,$1.77,n/a,n/a,"1:3_ATR[20]",97.1%,9.72%,10.21%,11.58,34.00,7.9,https://arizet.com/quantumstocks/#v/pl/tk/ASTC/sn/ZIGZAGHL[5_15_0_7]_mean_reversion/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_mean_reversion_Buy_ASTC_1:3_ATR[20]_m24/tp/Ticker/
