
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
ITCI,"Intra-Cellular Therapies Inc.",1367702,ZIGZAGHL[10_10_0_5]_mean_reversion,Buy,$7.74,$8.69,$4.86,"1:3_ATR[20]",100.0%,6.56%,7.19%,13.73,15.00,12.9,https://arizet.com/quantumstocks/#v/pl/tk/ITCI/sn/ZIGZAGHL[10_10_0_5]_mean_reversion/sg/Buy/bk/ZIGZAGHL[10_10_0_5]_mean_reversion_Buy_ITCI_1:3_ATR[20]_m24/tp/Ticker/
INFY,"Infosys Limited",9697390,RSI[5]_crosses_back_70_30_levels,Buy,$11.13,$12.09,$8.25,"1:3_ATR[20]",100.0%,1.94%,1.77%,19.79,20.00,7.3,https://arizet.com/quantumstocks/#v/pl/tk/INFY/sn/RSI[5]_crosses_back_70_30_levels/sg/Buy/bk/RSI[5]_crosses_back_70_30_levels_Buy_INFY_1:3_ATR[20]_m24/tp/Ticker/
AEO,"American Eagle Outfitters, Inc.",1976869,ZIGZAGHL[3_3_0_10]_mean_reversion,Buy,$16.10,$17.06,$13.22,"1:3_ATR[20]",100.0%,4.33%,4.33%,29.64,16.00,6.5,https://arizet.com/quantumstocks/#v/pl/tk/AEO/sn/ZIGZAGHL[3_3_0_10]_mean_reversion/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_mean_reversion_Buy_AEO_1:3_ATR[20]_m24/tp/Ticker/
AVD,"American Vanguard Corporation",54711,MFI[9]_crosses_80_20_levels,Buy,$15.59,$16.55,$12.71,"1:3_ATR[20]",100.0%,3.22%,3.13%,29.72,16.00,7.2,https://arizet.com/quantumstocks/#v/pl/tk/AVD/sn/MFI[9]_crosses_80_20_levels/sg/Buy/bk/MFI[9]_crosses_80_20_levels_Buy_AVD_1:3_ATR[20]_m24/tp/Ticker/
BEST,"BEST, Inc. Sponsored ADR",1546301,SMA[5]_price_crossover,Buy,$5.41,$6.37,$3.49,"1:2_ATR[20]",100.0%,5.50%,5.29%,31.13,21.00,5.5,https://arizet.com/quantumstocks/#v/pl/tk/BEST/sn/SMA[5]_price_crossover/sg/Buy/bk/SMA[5]_price_crossover_Buy_BEST_1:2_ATR[20]_m24/tp/Ticker/
BEST,"BEST, Inc. Sponsored ADR",1546301,SMA[5]_price_crossover,Buy,$5.41,$6.37,$2.53,"1:3_ATR[20]",100.0%,5.50%,5.29%,31.13,21.00,5.5,https://arizet.com/quantumstocks/#v/pl/tk/BEST/sn/SMA[5]_price_crossover/sg/Buy/bk/SMA[5]_price_crossover_Buy_BEST_1:3_ATR[20]_m24/tp/Ticker/
BHC,"Bausch Health Cos Inc.",3115203,SR[10]_counter_trend,Buy,$21.85,$22.81,$18.97,"1:3_ATR[20]",100.0%,4.35%,3.86%,13.86,16.00,8.4,https://arizet.com/quantumstocks/#v/pl/tk/BHC/sn/SR[10]_counter_trend/sg/Buy/bk/SR[10]_counter_trend_Buy_BHC_1:3_ATR[20]_m24/tp/Ticker/
CP,"Canadian Pacific Railway Limited",439527,STOCHF[21_3]_K_crosses_D_line,Buy,$221.58,n/a,n/a,"exit_after_20_days",100.0%,5.95%,4.92%,4.82,16.00,29.4,https://arizet.com/quantumstocks/#v/pl/tk/CP/sn/STOCHF[21_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[21_3]_K_crosses_D_line_Buy_CP_exit_after_20_days_m24/tp/Ticker/
CP,"Canadian Pacific Railway Limited",439527,STOCHF[5_3]_K_crosses_D_line,Buy,$221.58,n/a,n/a,"exit_after_20_days",100.0%,4.58%,3.02%,3.87,16.00,29.6,https://arizet.com/quantumstocks/#v/pl/tk/CP/sn/STOCHF[5_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[5_3]_K_crosses_D_line_Buy_CP_exit_after_20_days_m24/tp/Ticker/
CP,"Canadian Pacific Railway Limited",439527,STOCH[5_1_3]_K_crosses_D_line,Buy,$221.58,n/a,n/a,"exit_after_20_days",100.0%,4.58%,3.02%,3.87,16.00,29.6,https://arizet.com/quantumstocks/#v/pl/tk/CP/sn/STOCH[5_1_3]_K_crosses_D_line/sg/Buy/bk/STOCH[5_1_3]_K_crosses_D_line_Buy_CP_exit_after_20_days_m24/tp/Ticker/
CRVL,"CorVel Corp.",62457,STOCHF[14_3]_K_crosses_D_line,Buy,$75.46,$76.42,$72.58,"1:3_ATR[20]",100.0%,3.25%,3.27%,16.51,17.00,13.3,https://arizet.com/quantumstocks/#v/pl/tk/CRVL/sn/STOCHF[14_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[14_3]_K_crosses_D_line_Buy_CRVL_1:3_ATR[20]_m24/tp/Ticker/
CRVL,"CorVel Corp.",62457,STOCHF[21_3]_K_crosses_D_line,Buy,$75.46,$76.42,$72.58,"1:3_ATR[20]",100.0%,3.30%,3.36%,17.14,17.00,12.2,https://arizet.com/quantumstocks/#v/pl/tk/CRVL/sn/STOCHF[21_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[21_3]_K_crosses_D_line_Buy_CRVL_1:3_ATR[20]_m24/tp/Ticker/
DHI,"D.R. Horton, Inc.",2061017,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$52.41,$53.37,$49.53,"1:3_ATR[20]",97.9%,4.06%,1.83%,6.41,48.00,12.8,https://arizet.com/quantumstocks/#v/pl/tk/DHI/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DHI_1:3_ATR[20]_m24/tp/Ticker/
