Ticker,Name,Price,Volume,Signal,Model,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
HEP,"Holly Energy Partners, L.P.",$25.81 ,773811,Buy,RSI[7]_crosses_70_30_levels,100.00%,2.50%,2.46%,24.75,20,8.4,https://arizet.com/quantumstocks/#v/pl/tk/HEP/sn/RSI[7]_crosses_70_30_levels/sg/Buy/bk/RSI[7]_crosses_70_30_levels_Buy_HEP_1:3_ATR[20]_m24/tp/Ticker/
YY,YY Inc.,$60.48 ,606860,Buy,BBANDS[20_2_2]_breakout,100.00%,4.71%,4.83%,15.01,16,7.3,https://arizet.com/quantumstocks/#v/pl/tk/YY/sn/BBANDS[20_2_2]_breakout/sg/Buy/bk/BBANDS[20_2_2]_breakout_Sell_YY_1:3_ATR[20]_m24/tp/Ticker/
XEC,Cimarex Energy Co,$47.95 ,2984103,Buy,EMA[50]_price_crossover,100.00%,3.24%,3.12%,29.29,23,8.6,https://arizet.com/quantumstocks/#v/pl/tk/XEC/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Sell_XEC_1:3_ATR[20]_m24/tp/Ticker/
WDAY,"Workday, Inc.",$167.59 ,1598747,Buy,MFI[14]_crosses_70_30_levels,100.00%,3.60%,3.40%,18.84,16,6.9,https://arizet.com/quantumstocks/#v/pl/tk/WDAY/sn/MFI[14]_crosses_70_30_levels/sg/Buy/bk/MFI[14]_crosses_70_30_levels_Buy_WDAY_1:2_ATR[20]_m24/tp/Ticker/
VNCE,Vince Holding Corp.,$14.28 ,283500,Buy,WMA[100]_price_crossover,100.00%,6.25%,4.82%,7.48,15,9.5,https://arizet.com/quantumstocks/#v/pl/tk/VNCE/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Buy_VNCE_1:3_ATR[20]_m24/tp/Ticker/
UFI,"Unifi, Inc.",$23.87 ,119035,Buy,ZIGZAGHL[5_15_0_7]_trend_follow,100.00%,5.61%,4.81%,9.82,15,19.7,https://arizet.com/quantumstocks/#v/pl/tk/UFI/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_UFI_2:3_ATR[20]_m24/tp/Ticker/
UFI,"Unifi, Inc.",$23.87 ,119035,Buy,ZIGZAGHL[3_3_0_10]_trend_follow,100.00%,5.61%,4.81%,9.82,15,19.7,https://arizet.com/quantumstocks/#v/pl/tk/UFI/sn/ZIGZAGHL[3_3_0_10]_trend_follow/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_trend_follow_Buy_UFI_2:3_ATR[20]_m24/tp/Ticker/
UFI,"Unifi, Inc.",$23.87 ,119035,Buy,ZIGZAGHL[10_10_0_5]_trend_follow,100.00%,5.61%,4.81%,9.82,15,19.7,https://arizet.com/quantumstocks/#v/pl/tk/UFI/sn/ZIGZAGHL[10_10_0_5]_trend_follow/sg/Buy/bk/ZIGZAGHL[10_10_0_5]_trend_follow_Buy_UFI_2:3_ATR[20]_m24/tp/Ticker/
AMGN,Amgen Inc.,$195.47 ,2194140,Buy,CDLHARAMI_reversal,100.00%,2.01%,1.89%,17.65,24,8.9,https://arizet.com/quantumstocks/#v/pl/tk/AMGN/sn/CDLHARAMI_reversal/sg/Buy/bk/CDLHARAMI_reversal_Buy_AMGN_1:3_ATR[20]_m24/tp/Ticker/
APD,"Air Products and Chemicals, Inc.",$222.24 ,1015048,Buy,EMA[10]_price_crossover,97.50%,1.58%,1.68%,9.76,40,8.1,https://arizet.com/quantumstocks/#v/pl/tk/APD/sn/EMA[10]_price_crossover/sg/Buy/bk/EMA[10]_price_crossover_Buy_APD_1:3_ATR[20]_m24/tp/Ticker/
APD,"Air Products and Chemicals, Inc.",$222.24 ,1015048,Buy,SMA[10]_price_crossover,97.30%,1.54%,1.64%,8.91,37,8.6,https://arizet.com/quantumstocks/#v/pl/tk/APD/sn/SMA[10]_price_crossover/sg/Buy/bk/SMA[10]_price_crossover_Buy_APD_1:3_ATR[20]_m24/tp/Ticker/
APD,"Air Products and Chemicals, Inc.",$222.24 ,1015048,Buy,TRIMA[10]_price_crossover,97.40%,1.53%,1.61%,9.37,39,8.1,https://arizet.com/quantumstocks/#v/pl/tk/APD/sn/TRIMA[10]_price_crossover/sg/Buy/bk/TRIMA[10]_price_crossover_Buy_APD_1:3_ATR[20]_m24/tp/Ticker/
TV,Grupo Televisa S.A.,$9.79 ,1527518,Buy,BBANDS[50_1_1]_breakout,100.00%,3.27%,3.18%,27.78,20,4.8,https://arizet.com/quantumstocks/#v/pl/tk/TV/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Sell_TV_1:3_ATR[20]_m24/tp/Ticker/
TV,Grupo Televisa S.A.,$9.79 ,1527518,Buy,ACCBANDS[50]_breakout,100.00%,3.23%,3.29%,18.3,24,8.6,https://arizet.com/quantumstocks/#v/pl/tk/TV/sn/ACCBANDS[50]_breakout/sg/Buy/bk/ACCBANDS[50]_breakout_Sell_TV_1:3_ATR[20]_m24/tp/Ticker/
TEO,Telecom Argentina Stet - France Telecom S.A.,$9.53 ,283686,Buy,ZIGZAGHL[3_3_0_10]_mean_reversion,100.00%,5.33%,5.23%,41.54,18,6.9,https://arizet.com/quantumstocks/#v/pl/tk/TEO/sn/ZIGZAGHL[3_3_0_10]_mean_reversion/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_mean_reversion_Buy_TEO_1:3_ATR[20]_m24/tp/Ticker/
TCPC,BLACKROCK TCP CAPITAL CORP.,$13.44 ,472721,Buy,SMA[50]_price_crossover,100.00%,1.08%,1.11%,16.64,16,9,https://arizet.com/quantumstocks/#v/pl/tk/TCPC/sn/SMA[50]_price_crossover/sg/Buy/bk/SMA[50]_price_crossover_Sell_TCPC_1:3_ATR[20]_m24/tp/Ticker/
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",$153.79 ,89296,Buy,ADOSC[5_15]_crosses_0_level,100.00%,3.44%,2.69%,7.82,16,11.3,https://arizet.com/quantumstocks/#v/pl/tk/ASR/sn/ADOSC[5_15]_crosses_0_level/sg/Buy/bk/ADOSC[5_15]_crosses_0_level_Sell_ASR_1:3_ATR[20]_m24/tp/Ticker/
ATO,Atmos Energy Corporation,$109.73 ,479764,Buy,TRIMA[20]_price_crossover,97.10%,1.36%,1.42%,8.06,35,7.1,https://arizet.com/quantumstocks/#v/pl/tk/ATO/sn/TRIMA[20]_price_crossover/sg/Buy/bk/TRIMA[20]_price_crossover_Buy_ATO_1:3_ATR[20]_m24/tp/Ticker/
SLB,Schlumberger Limited,$37.33 ,8328791,Buy,EMA[100]_price_crossover,100.00%,2.12%,2.21%,12.58,15,6.3,https://arizet.com/quantumstocks/#v/pl/tk/SLB/sn/EMA[100]_price_crossover/sg/Buy/bk/EMA[100]_price_crossover_Sell_SLB_1:3_ATR[20]_m24/tp/Ticker/
AWI,"Armstrong World Industries, Inc.",$95.95 ,265829,Buy,CMO[21]_crosses_0_level,100.00%,2.30%,2.25%,24.77,17,8.6,https://arizet.com/quantumstocks/#v/pl/tk/AWI/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Sell_AWI_1:3_ATR[20]_m24/tp/Ticker/
BCH,Banco De Chile,$29.21 ,78427,Buy,EMA[100]_price_crossover,100.00%,3.73%,3.99%,13.5,16,18.2,https://arizet.com/quantumstocks/#v/pl/tk/BCH/sn/EMA[100]_price_crossover/sg/Buy/bk/EMA[100]_price_crossover_Sell_BCH_2:3_ATR[20]_m24/tp/Ticker/
BCH,Banco De Chile,$29.21 ,78427,Buy,TRIMA[100]_price_crossover,100.00%,3.66%,3.90%,12.76,16,16.8,https://arizet.com/quantumstocks/#v/pl/tk/BCH/sn/TRIMA[100]_price_crossover/sg/Buy/bk/TRIMA[100]_price_crossover_Sell_BCH_2:3_ATR[20]_m24/tp/Ticker/
SCOR,"comScore, Inc.",$2.57 ,464069,Buy,ZIGZAGHL[5_15_0_7]_trend_follow,100.00%,7.41%,5.39%,14.01,46,6.8,https://arizet.com/quantumstocks/#v/pl/tk/SCOR/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Sell_SCOR_1:3_ATR[20]_m24/tp/Ticker/
QUIK,QuickLogic Corporation,$0.33 ,2029307,Buy,ZIGZAGHL[10_10_0_5]_mean_reversion,100.00%,6.20%,6.30%,17.66,20,8.1,https://arizet.com/quantumstocks/#v/pl/tk/QUIK/sn/ZIGZAGHL[10_10_0_5]_mean_reversion/sg/Buy/bk/ZIGZAGHL[10_10_0_5]_mean_reversion_Sell_QUIK_1:3_ATR[20]_m24/tp/Ticker/
PULS,Pulse Electronics Corp.,$50.10 ,111318,Buy,BOP_crosses_0_level,98.70%,0.13%,0.12%,21.93,78,16,https://arizet.com/quantumstocks/#v/pl/tk/PULS/sn/BOP_crosses_0_level/sg/Buy/bk/BOP_crosses_0_level_Buy_PULS_3:3_ATR[20]_m24/tp/Ticker/
PPC,Pilgrim's Pride Corporation,$30.82 ,1096772,Buy,BBANDS[50_1_1]_breakout,100.00%,3.28%,3.25%,41.48,19,9.4,https://arizet.com/quantumstocks/#v/pl/tk/PPC/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Sell_PPC_1:3_ATR[20]_m24/tp/Ticker/
PGR,The Progressive Corporation,$72.68 ,13240410,Buy,BBANDS[10_2_2]_counter_trend,100.00%,1.96%,1.84%,15.8,15,3.2,https://arizet.com/quantumstocks/#v/pl/tk/PGR/sn/BBANDS[10_2_2]_counter_trend/sg/Buy/bk/BBANDS[10_2_2]_counter_trend_Buy_PGR_1:3_ATR[20]_m24/tp/Ticker/
