
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
GIS,"General Mills, Inc.",3293129,WMA[50]_price_crossover,Buy,$54.18,$55.05,$51.56,"1:3_ATR[20]",100.0%,2.05%,1.99%,30.58,19.00,6.8,https://arizet.com/quantumstocks/#v/pl/tk/GIS/sn/WMA[50]_price_crossover/sg/Buy/bk/WMA[50]_price_crossover_Buy_GIS_1:3_ATR[20]_m24/tp/Ticker/
WNS,"WNS (Holdings) Limited",143332,SR[5]_counter_trend,Buy,$58.86,$59.73,$56.24,"1:3_ATR[20]",100.0%,2.24%,2.10%,21.12,23.00,8.6,https://arizet.com/quantumstocks/#v/pl/tk/WNS/sn/SR[5]_counter_trend/sg/Buy/bk/SR[5]_counter_trend_Buy_WNS_1:3_ATR[20]_m24/tp/Ticker/
ABT,"Abbott Laboratories",3503670,CCI[20]_crosses_100_(-100)_levels,Buy,$82.44,$83.31,$79.82,"1:3_ATR[20]",100.0%,1.94%,1.98%,18.44,19.00,4.5,https://arizet.com/quantumstocks/#v/pl/tk/ABT/sn/CCI[20]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_100_(-100)_levels_Buy_ABT_1:3_ATR[20]_m24/tp/Ticker/
ABT,"Abbott Laboratories",3503670,CCI[20]_crosses_100_(-100)_levels,Buy,$82.44,n/a,n/a,"exit_after_10_days",100.0%,3.51%,3.13%,7.35,18.00,14.7,https://arizet.com/quantumstocks/#v/pl/tk/ABT/sn/CCI[20]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_100_(-100)_levels_Buy_ABT_exit_after_10_days_m24/tp/Ticker/
AJG,"Arthur J. Gallagher & Co.",855284,WMA[100]_price_crossover,Buy,$88.84,$89.71,$86.22,"1:3_ATR[20]",100.0%,1.63%,1.61%,21.29,15.00,8.1,https://arizet.com/quantumstocks/#v/pl/tk/AJG/sn/WMA[100]_price_crossover/sg/Buy/bk/WMA[100]_price_crossover_Buy_AJG_1:3_ATR[20]_m24/tp/Ticker/
ARCC,"Ares Capital Corporation",1498198,MFI[7]_crosses_70_30_levels,Buy,$18.68,n/a,n/a,"exit_after_20_days",100.0%,3.41%,2.83%,6.77,18.00,29.2,https://arizet.com/quantumstocks/#v/pl/tk/ARCC/sn/MFI[7]_crosses_70_30_levels/sg/Buy/bk/MFI[7]_crosses_70_30_levels_Buy_ARCC_exit_after_20_days_m24/tp/Ticker/
ASTC,"Astrotech Corporation",48286,ZIGZAGHL[3_3_0_10]_mean_reversion,Buy,$2.01,$2.88,$0.01,"1:3_ATR[20]",97.5%,9.95%,10.38%,13.75,40.00,7.9,https://arizet.com/quantumstocks/#v/pl/tk/ASTC/sn/ZIGZAGHL[3_3_0_10]_mean_reversion/sg/Buy/bk/ZIGZAGHL[3_3_0_10]_mean_reversion_Buy_ASTC_1:3_ATR[20]_m24/tp/Ticker/
ASTC,"Astrotech Corporation",48286,ZIGZAGHL[5_15_0_7]_mean_reversion,Buy,$2.01,$2.88,$0.01,"1:3_ATR[20]",97.1%,9.73%,10.23%,11.58,34.00,7.9,https://arizet.com/quantumstocks/#v/pl/tk/ASTC/sn/ZIGZAGHL[5_15_0_7]_mean_reversion/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_mean_reversion_Buy_ASTC_1:3_ATR[20]_m24/tp/Ticker/
AVID,"Avid Technology, Inc.",266121,MFI[14]_crosses_70_30_levels,Buy,$6.06,$6.93,$3.44,"1:3_ATR[20]",100.0%,5.28%,5.02%,13.48,16.00,8.7,https://arizet.com/quantumstocks/#v/pl/tk/AVID/sn/MFI[14]_crosses_70_30_levels/sg/Buy/bk/MFI[14]_crosses_70_30_levels_Buy_AVID_1:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",237426,CCI[5]_crosses_back_100_(-100)_levels,Buy,$89.75,$90.62,$87.13,"1:3_ATR[20]",97.7%,1.88%,1.80%,6.48,43.00,8.9,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/CCI[5]_crosses_back_100_(-100)_levels/sg/Buy/bk/CCI[5]_crosses_back_100_(-100)_levels_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
