
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
NGS,"Natural Gas Services Group, Inc.",126831,ZIGZAGHL[5_15_0_7]_mean_reversion,Buy,$11.35,$12.53,$8.99,"1:2_ATR[20]",100.0%,4.67%,4.59%,25.81,15.00,7.1,https://arizet.com/quantumstocks/#v/pl/tk/NGS/sn/ZIGZAGHL[5_15_0_7]_mean_reversion/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_mean_reversion_Buy_NGS_1:2_ATR[20]_m24/tp/Ticker/
ZTS,"Zoetis Inc.",3852106,CCI[20]_crosses_back_100_(-100)_levels,Buy,$121.03,$122.21,$117.49,"1:3_ATR[20]",100.0%,2.00%,1.95%,19.65,16.00,4.2,https://arizet.com/quantumstocks/#v/pl/tk/ZTS/sn/CCI[20]_crosses_back_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_back_100_(-100)_levels_Buy_ZTS_1:3_ATR[20]_m24/tp/Ticker/
ACTG,"Acacia Research Corporation",170976,ZIGZAGHL[10_10_0_5]_mean_reversion,Buy,$2.55,$3.73,$0.19,"1:2_ATR[20]",100.0%,4.72%,4.75%,31.18,16.00,8.3,https://arizet.com/quantumstocks/#v/pl/tk/ACTG/sn/ZIGZAGHL[10_10_0_5]_mean_reversion/sg/Buy/bk/ZIGZAGHL[10_10_0_5]_mean_reversion_Buy_ACTG_1:2_ATR[20]_m24/tp/Ticker/
APEI,"American Public Education, Inc.",93443,CMO[21]_crosses_0_level,Buy,$23.27,$24.45,$19.73,"1:3_ATR[20]",100.0%,5.34%,3.80%,3.30,15.00,9.8,https://arizet.com/quantumstocks/#v/pl/tk/APEI/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_APEI_1:3_ATR[20]_m24/tp/Ticker/
BBY,"Best Buy Co., Inc.",1813861,SR[50]_breakout,Buy,$76.01,$77.19,$72.47,"1:3_ATR[20]",100.0%,2.11%,2.13%,18.48,16.00,7.7,https://arizet.com/quantumstocks/#v/pl/tk/BBY/sn/SR[50]_breakout/sg/Buy/bk/SR[50]_breakout_Buy_BBY_1:3_ATR[20]_m24/tp/Ticker/
BOOT,"Boot Barn Holdings, Inc.",489269,CDLHARAMI_reversal,Buy,$38.28,$39.46,$34.74,"1:3_ATR[20]",100.0%,6.78%,4.71%,3.20,21.00,11.0,https://arizet.com/quantumstocks/#v/pl/tk/BOOT/sn/CDLHARAMI_reversal/sg/Buy/bk/CDLHARAMI_reversal_Buy_BOOT_1:3_ATR[20]_m24/tp/Ticker/
CCI,"Crown Castle International Corporation",2122829,RSI[7]_crosses_70_30_levels,Buy,$131.91,$133.09,$129.55,"1:2_ATR[20]",100.0%,1.91%,1.91%,24.91,16.00,4.5,https://arizet.com/quantumstocks/#v/pl/tk/CCI/sn/RSI[7]_crosses_70_30_levels/sg/Buy/bk/RSI[7]_crosses_70_30_levels_Buy_CCI_1:2_ATR[20]_m24/tp/Ticker/
CCI,"Crown Castle International Corporation",2122829,RSI[7]_crosses_70_30_levels,Buy,$131.91,$133.09,$128.37,"1:3_ATR[20]",100.0%,1.91%,1.91%,24.91,16.00,4.5,https://arizet.com/quantumstocks/#v/pl/tk/CCI/sn/RSI[7]_crosses_70_30_levels/sg/Buy/bk/RSI[7]_crosses_70_30_levels_Buy_CCI_1:3_ATR[20]_m24/tp/Ticker/
CHDN,"Churchill Downs, Incorporated",395980,STOCHF[14_3]_K_crosses_D_line,Buy,$123.58,n/a,n/a,"exit_after_20_days",100.0%,7.30%,6.69%,6.20,17.00,29.1,https://arizet.com/quantumstocks/#v/pl/tk/CHDN/sn/STOCHF[14_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[14_3]_K_crosses_D_line_Buy_CHDN_exit_after_20_days_m24/tp/Ticker/
CHDN,"Churchill Downs, Incorporated",395980,STOCHF[21_3]_K_crosses_D_line,Buy,$123.58,$124.76,$120.04,"1:3_ATR[20]",100.0%,2.86%,2.66%,21.15,18.00,9.3,https://arizet.com/quantumstocks/#v/pl/tk/CHDN/sn/STOCHF[21_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[21_3]_K_crosses_D_line_Buy_CHDN_1:3_ATR[20]_m24/tp/Ticker/
COST,"Costco Wholesale Corporation",2256474,BBANDS[50_2_2]_breakout,Buy,$305.21,$306.39,$301.67,"1:3_ATR[20]",100.0%,3.11%,1.41%,3.53,17.00,9.5,https://arizet.com/quantumstocks/#v/pl/tk/COST/sn/BBANDS[50_2_2]_breakout/sg/Buy/bk/BBANDS[50_2_2]_breakout_Buy_COST_1:3_ATR[20]_m24/tp/Ticker/
COST,"Costco Wholesale Corporation",2256474,BBANDS[50_2_2]_breakout,Buy,$305.21,$307.57,$301.67,"2:3_ATR[20]",100.0%,4.11%,2.77%,5.27,17.00,15.8,https://arizet.com/quantumstocks/#v/pl/tk/COST/sn/BBANDS[50_2_2]_breakout/sg/Buy/bk/BBANDS[50_2_2]_breakout_Buy_COST_2:3_ATR[20]_m24/tp/Ticker/
DEA,"Easterly Government Properties, Inc.",1015906,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$22.86,$25.22,$20.50,"2:2_ATR[20]",100.0%,3.11%,3.12%,70.63,17.00,17.9,https://arizet.com/quantumstocks/#v/pl/tk/DEA/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DEA_2:2_ATR[20]_m24/tp/Ticker/
DEA,"Easterly Government Properties, Inc.",1015906,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$22.86,$26.40,$19.32,"3:3_ATR[20]",100.0%,3.74%,3.97%,14.48,15.00,23.5,https://arizet.com/quantumstocks/#v/pl/tk/DEA/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DEA_3:3_ATR[20]_m24/tp/Ticker/
DEA,"Easterly Government Properties, Inc.",1015906,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$22.86,$26.40,$20.50,"3:2_ATR[20]",100.0%,3.74%,3.97%,14.48,15.00,23.5,https://arizet.com/quantumstocks/#v/pl/tk/DEA/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DEA_3:2_ATR[20]_m24/tp/Ticker/
DEA,"Easterly Government Properties, Inc.",1015906,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$22.86,$24.04,$20.50,"1:2_ATR[20]",100.0%,1.50%,1.53%,46.32,21.00,7.7,https://arizet.com/quantumstocks/#v/pl/tk/DEA/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DEA_1:2_ATR[20]_m24/tp/Ticker/
DEA,"Easterly Government Properties, Inc.",1015906,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$22.86,$24.04,$19.32,"1:3_ATR[20]",100.0%,1.50%,1.53%,46.32,21.00,7.7,https://arizet.com/quantumstocks/#v/pl/tk/DEA/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DEA_1:3_ATR[20]_m24/tp/Ticker/
DEA,"Easterly Government Properties, Inc.",1015906,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$22.86,$25.22,$19.32,"2:3_ATR[20]",100.0%,3.11%,3.12%,70.63,17.00,17.9,https://arizet.com/quantumstocks/#v/pl/tk/DEA/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DEA_2:3_ATR[20]_m24/tp/Ticker/
DEA,"Easterly Government Properties, Inc.",1015906,ZIGZAGHL[5_15_0_7]_trend_follow,Buy,$22.86,n/a,n/a,"exit_after_15_days",100.0%,2.65%,2.60%,9.43,17.00,21.4,https://arizet.com/quantumstocks/#v/pl/tk/DEA/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_DEA_exit_after_15_days_m24/tp/Ticker/
DEO,"Diageo plc",235629,CCI[40]_crosses_100_(-100)_levels,Buy,$160.07,$161.25,$156.53,"1:3_ATR[20]",100.0%,1.24%,1.27%,19.20,20.00,9.4,https://arizet.com/quantumstocks/#v/pl/tk/DEO/sn/CCI[40]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[40]_crosses_100_(-100)_levels_Buy_DEO_1:3_ATR[20]_m24/tp/Ticker/
DRE,"Duke Realty Corporation",2078310,STOCHF[5_3]_K_crosses_D_line,Buy,$34.62,$35.80,$31.08,"1:3_ATR[20]",100.0%,1.68%,1.56%,25.79,23.00,6.6,https://arizet.com/quantumstocks/#v/pl/tk/DRE/sn/STOCHF[5_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[5_3]_K_crosses_D_line_Buy_DRE_1:3_ATR[20]_m24/tp/Ticker/
DRE,"Duke Realty Corporation",2078310,STOCH[5_1_3]_K_crosses_D_line,Buy,$34.62,$35.80,$31.08,"1:3_ATR[20]",100.0%,1.68%,1.56%,25.79,23.00,6.6,https://arizet.com/quantumstocks/#v/pl/tk/DRE/sn/STOCH[5_1_3]_K_crosses_D_line/sg/Buy/bk/STOCH[5_1_3]_K_crosses_D_line_Buy_DRE_1:3_ATR[20]_m24/tp/Ticker/
IBB,"iShares Nasdaq Biotechnology ETF",1260799,CDLHARAMI_reversal,Buy,$108.35,n/a,n/a,"opsig",100.0%,4.39%,2.97%,5.77,15.00,46.3,https://arizet.com/quantumstocks/#v/pl/tk/IBB/sn/CDLHARAMI_reversal/sg/Buy/bk/CDLHARAMI_reversal_Buy_Sell_IBB_opsig_m24/tp/Ticker/
LMNX,"Luminex Corporation",234371,RSI[9]_crosses_back_70_30_levels,Buy,$18.22,$19.40,$15.86,"1:2_ATR[20]",100.0%,3.45%,3.39%,15.53,18.00,8.3,https://arizet.com/quantumstocks/#v/pl/tk/LMNX/sn/RSI[9]_crosses_back_70_30_levels/sg/Buy/bk/RSI[9]_crosses_back_70_30_levels_Buy_LMNX_1:2_ATR[20]_m24/tp/Ticker/
LMNX,"Luminex Corporation",234371,RSI[9]_crosses_back_70_30_levels,Buy,$18.22,$19.40,$14.68,"1:3_ATR[20]",100.0%,3.45%,3.39%,15.53,18.00,8.3,https://arizet.com/quantumstocks/#v/pl/tk/LMNX/sn/RSI[9]_crosses_back_70_30_levels/sg/Buy/bk/RSI[9]_crosses_back_70_30_levels_Buy_LMNX_1:3_ATR[20]_m24/tp/Ticker/
MKC,"McCormick & Company, Incorporated",518218,MFI[5]_crosses_back_80_20_levels,Buy,$160.43,$161.61,$156.89,"1:3_ATR[20]",100.0%,2.05%,1.90%,14.60,16.00,10.3,https://arizet.com/quantumstocks/#v/pl/tk/MKC/sn/MFI[5]_crosses_back_80_20_levels/sg/Buy/bk/MFI[5]_crosses_back_80_20_levels_Buy_MKC_1:3_ATR[20]_m24/tp/Ticker/
NEE,"NextEra Energy, Inc.",3106838,MFI[5]_crosses_80_20_levels,Buy,$223.09,$224.27,$220.73,"1:2_ATR[20]",100.0%,1.39%,1.41%,18.94,16.00,9.4,https://arizet.com/quantumstocks/#v/pl/tk/NEE/sn/MFI[5]_crosses_80_20_levels/sg/Buy/bk/MFI[5]_crosses_80_20_levels_Buy_NEE_1:2_ATR[20]_m24/tp/Ticker/
NEE,"NextEra Energy, Inc.",3106838,MFI[5]_crosses_80_20_levels,Buy,$223.09,$224.27,$219.55,"1:3_ATR[20]",100.0%,1.39%,1.41%,18.94,16.00,9.4,https://arizet.com/quantumstocks/#v/pl/tk/NEE/sn/MFI[5]_crosses_80_20_levels/sg/Buy/bk/MFI[5]_crosses_80_20_levels_Buy_NEE_1:3_ATR[20]_m24/tp/Ticker/
