
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
ICE,"Intercontinental Exchange Inc.",2098688,BBANDS[50_1_1]_counter_trend,Buy,$91.35,$92.41,$89.75,"2:3_ATR[20]",100.0%,3.48%,3.35%,24.14,20.00,13.2,https://arizet.com/quantumstocks/#v/pl/tk/ICE/sn/BBANDS[50_1_1]_counter_trend/sg/Buy/bk/BBANDS[50_1_1]_counter_trend_Buy_ICE_2:3_ATR[20]_m24/tp/Ticker/
VRNS,"Varonis Systems, Inc.",1361167,BBANDS[10_2_2]_breakout,Buy,$71.47,n/a,n/a,"exit_after_10_days",100.0%,4.52%,3.08%,4.73,16.00,14.7,https://arizet.com/quantumstocks/#v/pl/tk/VRNS/sn/BBANDS[10_2_2]_breakout/sg/Buy/bk/BBANDS[10_2_2]_breakout_Buy_VRNS_exit_after_10_days_m24/tp/Ticker/
AWR,"American States Water Company",209402,CCI[5]_crosses_back_100_(-100)_levels,Buy,$93.81,$94.34,$92.21,"1:3_ATR[20]",97.7%,1.80%,1.79%,7.50,44.00,8.9,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/CCI[5]_crosses_back_100_(-100)_levels/sg/Buy/bk/CCI[5]_crosses_back_100_(-100)_levels_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
BCE,"BCE, Inc.",849467,MFI[5]_crosses_back_80_20_levels,Buy,$47.34,$47.87,$45.74,"1:3_ATR[20]",100.0%,1.30%,1.13%,9.06,21.00,6.5,https://arizet.com/quantumstocks/#v/pl/tk/BCE/sn/MFI[5]_crosses_back_80_20_levels/sg/Buy/bk/MFI[5]_crosses_back_80_20_levels_Buy_BCE_1:3_ATR[20]_m24/tp/Ticker/
BDX,"Becton, Dickinson and Company",1600148,EMA[100]_price_crossover,Buy,$254.28,$254.81,$252.68,"1:3_ATR[20]",100.0%,2.11%,2.12%,44.25,22.00,7.3,https://arizet.com/quantumstocks/#v/pl/tk/BDX/sn/EMA[100]_price_crossover/sg/Buy/bk/EMA[100]_price_crossover_Buy_BDX_1:3_ATR[20]_m24/tp/Ticker/
BDX,"Becton, Dickinson and Company",1600148,TRIMA[50]_price_crossover,Buy,$254.28,$254.81,$252.68,"1:3_ATR[20]",100.0%,1.98%,2.02%,42.05,21.00,9.1,https://arizet.com/quantumstocks/#v/pl/tk/BDX/sn/TRIMA[50]_price_crossover/sg/Buy/bk/TRIMA[50]_price_crossover_Buy_BDX_1:3_ATR[20]_m24/tp/Ticker/
CDOR,"Condor Hospitality Trust, Inc.",77826,BBANDS[20_2_2]_counter_trend,Buy,$11.02,$11.55,$9.42,"1:3_ATR[20]",100.0%,3.55%,3.39%,10.33,16.00,5.6,https://arizet.com/quantumstocks/#v/pl/tk/CDOR/sn/BBANDS[20_2_2]_counter_trend/sg/Buy/bk/BBANDS[20_2_2]_counter_trend_Buy_CDOR_1:3_ATR[20]_m24/tp/Ticker/
CMS,"CMS Energy Corporation",1870698,EMA[50]_price_crossover,Buy,$62.98,$63.51,$61.38,"1:3_ATR[20]",100.0%,1.60%,1.62%,29.50,15.00,6.5,https://arizet.com/quantumstocks/#v/pl/tk/CMS/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_CMS_1:3_ATR[20]_m24/tp/Ticker/
COG,"Cabot Oil & Gas Corporation",7128497,EMA[50]_price_crossover,Buy,$18.96,$19.49,$17.36,"1:3_ATR[20]",100.0%,2.93%,2.51%,11.37,26.00,8.2,https://arizet.com/quantumstocks/#v/pl/tk/COG/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_COG_1:3_ATR[20]_m24/tp/Ticker/
CY,"Cypress Semiconductor Corporation",3134036,MFI[9]_crosses_back_70_30_levels,Buy,$23.28,$23.81,$21.68,"1:3_ATR[20]",100.0%,3.15%,3.01%,20.78,15.00,8.8,https://arizet.com/quantumstocks/#v/pl/tk/CY/sn/MFI[9]_crosses_back_70_30_levels/sg/Buy/bk/MFI[9]_crosses_back_70_30_levels_Buy_CY_1:3_ATR[20]_m24/tp/Ticker/
DIN,"DINE BRANDS GLOBAL, INC.",452793,SMA[20]_price_crossover,Buy,$73.11,$73.64,$71.51,"1:3_ATR[20]",100.0%,3.95%,3.62%,13.88,24.00,7.9,https://arizet.com/quantumstocks/#v/pl/tk/DIN/sn/SMA[20]_price_crossover/sg/Buy/bk/SMA[20]_price_crossover_Buy_DIN_1:3_ATR[20]_m24/tp/Ticker/
DXCM,"DexCom, Inc.",524278,MFI[7]_crosses_back_70_30_levels,Buy,$154.84,$155.37,$153.24,"1:3_ATR[20]",100.0%,5.01%,3.71%,4.85,19.00,10.1,https://arizet.com/quantumstocks/#v/pl/tk/DXCM/sn/MFI[7]_crosses_back_70_30_levels/sg/Buy/bk/MFI[7]_crosses_back_70_30_levels_Buy_DXCM_1:3_ATR[20]_m24/tp/Ticker/
