
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
NXRT,"NexPoint Residential Trust, Inc.",200569,CDLHARAMI_reversal,Buy,$45.98,$46.12,$45.57,"1:3_ATR[20]",100.0%,3.19%,2.26%,3.78,22.00,10.5,https://arizet.com/quantumstocks/#v/pl/tk/NXRT/sn/CDLHARAMI_reversal/sg/Buy/bk/CDLHARAMI_reversal_Buy_NXRT_1:3_ATR[20]_m24/tp/Ticker/
ZTS,"Zoetis Inc.",3781883,CCI[20]_crosses_100_(-100)_levels,Buy,$117.86,$118.00,$117.45,"1:3_ATR[20]",100.0%,1.98%,1.87%,21.21,17.00,4.5,https://arizet.com/quantumstocks/#v/pl/tk/ZTS/sn/CCI[20]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_100_(-100)_levels_Buy_ZTS_1:3_ATR[20]_m24/tp/Ticker/
AMPH,"Amphastar Pharmaceuticals, Inc.",600785,RSI[9]_crosses_70_30_levels,Buy,$18.41,$18.55,$18.00,"1:3_ATR[20]",100.0%,3.25%,3.23%,24.87,16.00,9.1,https://arizet.com/quantumstocks/#v/pl/tk/AMPH/sn/RSI[9]_crosses_70_30_levels/sg/Buy/bk/RSI[9]_crosses_70_30_levels_Buy_AMPH_1:3_ATR[20]_m24/tp/Ticker/
CDOR,"Condor Hospitality Trust, Inc.",16291,BBANDS[50_2_2]_counter_trend,Buy,$11.01,$11.15,$10.60,"1:3_ATR[20]",100.0%,4.13%,3.59%,9.03,15.00,5.7,https://arizet.com/quantumstocks/#v/pl/tk/CDOR/sn/BBANDS[50_2_2]_counter_trend/sg/Buy/bk/BBANDS[50_2_2]_counter_trend_Buy_CDOR_1:3_ATR[20]_m24/tp/Ticker/
CMCSA,"Comcast Corporation",13664258,CMO[21]_crosses_0_level,Buy,$45.19,$45.33,$44.78,"1:3_ATR[20]",100.0%,2.63%,2.46%,11.89,22.00,10.5,https://arizet.com/quantumstocks/#v/pl/tk/CMCSA/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_CMCSA_1:3_ATR[20]_m24/tp/Ticker/
CMCSA,"Comcast Corporation",13664258,CMO[21]_crosses_0_level,Buy,$45.19,$45.46,$44.78,"2:3_ATR[20]",100.0%,4.57%,4.57%,25.03,22.00,17.7,https://arizet.com/quantumstocks/#v/pl/tk/CMCSA/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Buy_CMCSA_2:3_ATR[20]_m24/tp/Ticker/
CMCSA,"Comcast Corporation",13664258,EMA[50]_price_crossover,Buy,$45.19,$45.60,$44.78,"3:3_ATR[20]",100.0%,5.78%,5.84%,17.40,21.00,22.0,https://arizet.com/quantumstocks/#v/pl/tk/CMCSA/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_CMCSA_3:3_ATR[20]_m24/tp/Ticker/
CMCSA,"Comcast Corporation",13664258,EMA[50]_price_crossover,Buy,$45.19,$45.33,$44.78,"1:3_ATR[20]",100.0%,2.34%,2.37%,27.34,21.00,8.5,https://arizet.com/quantumstocks/#v/pl/tk/CMCSA/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_CMCSA_1:3_ATR[20]_m24/tp/Ticker/
CMCSA,"Comcast Corporation",13664258,EMA[50]_price_crossover,Buy,$45.19,$45.46,$44.78,"2:3_ATR[20]",100.0%,4.32%,4.28%,20.33,21.00,17.4,https://arizet.com/quantumstocks/#v/pl/tk/CMCSA/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_CMCSA_2:3_ATR[20]_m24/tp/Ticker/
CMCSA,"Comcast Corporation",13664258,EMA[50]_price_crossover,Buy,$45.19,n/a,n/a,"exit_after_20_days",100.0%,5.67%,5.44%,14.13,19.00,29.3,https://arizet.com/quantumstocks/#v/pl/tk/CMCSA/sn/EMA[50]_price_crossover/sg/Buy/bk/EMA[50]_price_crossover_Buy_CMCSA_exit_after_20_days_m24/tp/Ticker/
