
Ticker,Name,Volume,Model,Signal,Price,TakeProfit,StopLoss,ExitType,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
JKHY,"Jack Henry & Associates, Inc.",859457,TRIMA[100]_price_crossover,Buy,$142.72,$144.79,$136.52,"1:3_ATR[20]",100.0%,1.66%,1.71%,18.29,19.00,10.7,https://arizet.com/quantumstocks/#v/pl/tk/JKHY/sn/TRIMA[100]_price_crossover/sg/Buy/bk/TRIMA[100]_price_crossover_Buy_JKHY_1:3_ATR[20]_m24/tp/Ticker/
AAN,"Aaron's,  Inc.",1098941,STOCHRSI[9_5_3]_K_crosses_80_20_levels,Buy,$73.87,$75.94,$69.74,"1:2_ATR[20]",100.0%,2.77%,2.89%,40.82,15.00,5.7,https://arizet.com/quantumstocks/#v/pl/tk/AAN/sn/STOCHRSI[9_5_3]_K_crosses_80_20_levels/sg/Buy/bk/STOCHRSI[9_5_3]_K_crosses_80_20_levels_Buy_AAN_1:2_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",455912,BBANDS[10_1_1]_counter_trend,Buy,$90.95,$95.08,$84.75,"2:3_ATR[20]",97.4%,3.71%,3.69%,11.94,39.00,17.0,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/BBANDS[10_1_1]_counter_trend/sg/Buy/bk/BBANDS[10_1_1]_counter_trend_Buy_AWR_2:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",455912,BBANDS[10_1_1]_counter_trend,Buy,$90.95,$93.02,$84.75,"1:3_ATR[20]",100.0%,2.27%,1.88%,12.92,39.00,8.1,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/BBANDS[10_1_1]_counter_trend/sg/Buy/bk/BBANDS[10_1_1]_counter_trend_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",455912,BBANDS[20_1_1]_counter_trend,Buy,$90.95,$93.02,$84.75,"1:3_ATR[20]",100.0%,2.18%,1.86%,12.24,24.00,8.2,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/BBANDS[20_1_1]_counter_trend/sg/Buy/bk/BBANDS[20_1_1]_counter_trend_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",455912,CCI[10]_crosses_100_(-100)_levels,Buy,$90.95,$93.02,$84.75,"1:3_ATR[20]",100.0%,2.20%,1.93%,11.97,30.00,7.5,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/CCI[10]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[10]_crosses_100_(-100)_levels_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
AWR,"American States Water Company",455912,RSI[5]_crosses_70_30_levels,Buy,$90.95,$93.02,$84.75,"1:3_ATR[20]",100.0%,2.06%,1.82%,17.68,17.00,5.2,https://arizet.com/quantumstocks/#v/pl/tk/AWR/sn/RSI[5]_crosses_70_30_levels/sg/Buy/bk/RSI[5]_crosses_70_30_levels_Buy_AWR_1:3_ATR[20]_m24/tp/Ticker/
BURL,"Burlington Stores, Inc.",668437,CCI[10]_crosses_back_100_(-100)_levels,Buy,$197.74,$199.81,$191.54,"1:3_ATR[20]",100.0%,2.84%,2.68%,24.22,25.00,6.5,https://arizet.com/quantumstocks/#v/pl/tk/BURL/sn/CCI[10]_crosses_back_100_(-100)_levels/sg/Buy/bk/CCI[10]_crosses_back_100_(-100)_levels_Buy_BURL_1:3_ATR[20]_m24/tp/Ticker/
CCI,"Crown Castle International Corporation",1626880,CCI[20]_crosses_100_(-100)_levels,Buy,$134.50,$136.57,$128.30,"1:3_ATR[20]",100.0%,1.96%,1.91%,25.18,21.00,5.9,https://arizet.com/quantumstocks/#v/pl/tk/CCI/sn/CCI[20]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_100_(-100)_levels_Buy_CCI_1:3_ATR[20]_m24/tp/Ticker/
CCI,"Crown Castle International Corporation",1626880,CCI[30]_crosses_100_(-100)_levels,Buy,$134.50,$136.57,$128.30,"1:3_ATR[20]",100.0%,1.98%,1.91%,26.47,21.00,5.8,https://arizet.com/quantumstocks/#v/pl/tk/CCI/sn/CCI[30]_crosses_100_(-100)_levels/sg/Buy/bk/CCI[30]_crosses_100_(-100)_levels_Buy_CCI_1:3_ATR[20]_m24/tp/Ticker/
