"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"PLAB","Photronics, Inc.","Technology","Semiconductor Equipment & Materials","USA",991.92,35.85,15.13,20.37%,5316105
2,"PTSI","P.A.M. Transportation Services, Inc.","Services","Trucking","USA",337.47,12.79,59.31,6.39%,14711
3,"FTSV","Forty Seven, Inc.","Healthcare","Biotechnology","USA",1488.74,,35.96,3.77%,2087291
4,"QRVO","Qorvo, Inc.","Technology","Semiconductor - Broad Line","USA",13352.75,55.37,113.84,3.62%,2606943
5,"ASTE","Astec Industries, Inc.","Industrial Goods","Farm & Construction Machinery","USA",891.41,,40.19,2.81%,158265
6,"GWW","W.W. Grainger, Inc.","Services","Industrial Equipment Wholesale","USA",17573.30,19.22,329.52,1.84%,338569
7,"FELE","Franklin Electric Co., Inc.","Industrial Goods","Industrial Electrical Equipment","USA",2602.04,27.12,56.90,1.57%,78446
8,"VNCE","Vince Holding Corp.","Consumer Goods","Textile - Apparel Clothing","USA",276.11,211.43,23.68,1.46%,87192
9,"GGG","Graco Inc.","Industrial Goods","Diversified Machinery","USA",8327.38,25.71,49.91,1.44%,466431
10,"ITW","Illinois Tool Works Inc.","Industrial Goods","Diversified Machinery","USA",57005.20,23.30,176.87,1.39%,911296
11,"APAM","Artisan Partners Asset Management Inc.","Financial","Asset Management","USA",2332.13,12.48,30.39,1.37%,578748
12,"TTC","The Toro Company","Industrial Goods","Small Tools & Accessories","USA",8580.73,31.61,80.19,1.30%,405589
13,"JCS","Communications Systems, Inc.","Technology","Communication Equipment","USA",81.14,20.61,8.82,1.26%,271393
14,"TG","Tredegar Corporation","Basic Materials","Specialty Chemicals","USA",740.18,9.88,23.08,1.23%,106467
15,"HE","Hawaiian Electric Industries, Inc.","Utilities","Electric Utilities","USA",4907.14,25.72,45.09,1.19%,376118
16,"WOR","Worthington Industries, Inc.","Basic Materials","Steel & Iron","USA",2190.37,25.21,40.57,1.17%,132632
17,"MTD","Mettler-Toledo International Inc.","Healthcare","Medical Instruments & Supplies","USA",18667.66,34.76,762.35,1.08%,152660
18,"AVA","Avista Corporation","Utilities","Diversified Utilities","USA",3176.05,16.36,47.71,1.06%,340494
19,"HWKN","Hawkins, Inc.","Basic Materials","Specialty Chemicals","USA",463.61,17.52,44.28,1.03%,20265
20,"TBI","TrueBlue, Inc.","Services","Staffing & Outsourcing Services","USA",920.49,13.59,23.76,0.98%,97386
21,"OXSQ","Oxford Square Capital Corp.","Financial","Asset Management","USA",266.19,,5.57,0.91%,294072
22,"SCS","Steelcase Inc.","Consumer Goods","Business Equipment","USA",2179.08,16.34,18.86,0.86%,592680
23,"GSBD","Goldman Sachs BDC, Inc.","Financial","Investment Brokerage - National","USA",885.31,34.03,21.95,0.83%,159164
24,"ARVN","Arvinas, Inc.","Healthcare","Biotechnology","USA",3225.32,,42.85,0.63%,138471
25,"GL","Globe Life Inc.","Financial","Life Insurance","USA",11225.33,15.93,104.89,0.52%,360544
26,"PCYO","Pure Cycle Corporation","Utilities","Water Utilities","USA",296.78,63.55,12.71,0.47%,29685
27,"STT","State Street Corporation","Financial","Asset Management","USA",28674.78,15.71,78.19,0.46%,3944199
28,"ENFC","Entegra Financial Corp.","Financial","Regional - Southeast Banks","USA",208.59,15.38,30.10,0.10%,8320
29,"SYBT","Stock Yards Bancorp, Inc.","Financial","Regional - Southeast Banks","USA",935.98,14.82,41.47,0.07%,23051
