"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BSRR","Sierra Bancorp","Financial","Regional - Pacific Banks","USA",417.07,12.10,27.10,-0.37%,14467
2,"FMBH","First Mid Bancshares, Inc.","Financial","Regional - Midwest Banks","USA",582.04,12.55,34.79,-1.39%,26344
3,"MNTX","Manitex International, Inc.","Industrial Goods","Diversified Machinery","USA",105.67,,5.18,-2.08%,40673
4,"NRT","North European Oil Royalty Trust","Financial","Diversified Investments","USA",51.10,6.92,5.56,-2.28%,38424
5,"PHX","Panhandle Oil and Gas Inc.","Basic Materials","Independent Oil & Gas","USA",196.09,12.18,11.77,-0.76%,42897
6,"PUB","People's Utah Bancorp","Financial","Money Center Banks","USA",555.85,12.92,29.24,0.76%,22284
7,"TREC","Trecora Resources","Basic Materials","Specialty Chemicals","USA",191.02,427.22,7.69,-1.41%,45033
