"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
132,"CW","Curtiss-Wright Corporation","Industrial Goods","Diversified Machinery","USA",6124.47,20.40,143.40,0.13%,211494
133,"JCS","Communications Systems, Inc.","Technology","Communication Equipment","USA",87.31,22.17,9.49,3.04%,211360
134,"COHU","Cohu, Inc.","Technology","Semiconductor Equipment & Materials","USA",827.42,,20.42,0.20%,208002
135,"RST","Rosetta Stone Inc.","Technology","Application Software","USA",403.10,,17.33,1.40%,203225
136,"FPAC","Far Point Acquisition Corporation","Conglomerates","Conglomerates","USA",810.30,80.47,10.30,0.49%,201988
137,"MTRX","Matrix Service Company","Basic Materials","Oil & Gas Equipment & Services","USA",608.70,18.93,21.88,3.21%,198399
138,"GSBD","Goldman Sachs BDC, Inc.","Financial","Investment Brokerage - National","USA",899.43,34.57,22.30,0.63%,196631
139,"MPWR","Monolithic Power Systems, Inc.","Technology","Semiconductor - Specialized","USA",7417.01,76.65,174.60,0.49%,195839
140,"CODI","Compass Diversified Holdings LLC","Conglomerates","Conglomerates","USA",1473.07,,24.98,0.52%,192998
141,"ITRI","Itron, Inc.","Technology","Scientific & Technical Instruments","USA",3317.14,57.50,84.47,0.25%,170041
142,"KELYA","Kelly Services, Inc.","Services","Staffing & Outsourcing Services","USA",845.28,12.37,22.18,1.35%,166642
143,"KFRC","Kforce Inc.","Services","Staffing & Outsourcing Services","USA",928.46,17.67,40.74,0.17%,164394
144,"PLXS","Plexus Corp.","Technology","Printed Circuit Boards","USA",2256.88,21.05,78.50,0.23%,160735
145,"AVD","American Vanguard Corporation","Basic Materials","Agricultural Chemicals","USA",525.36,29.68,17.60,2.21%,158900
146,"UVV","Universal Corporation","Consumer Goods","Tobacco Products, Other","USA",1358.90,15.45,54.75,0.68%,158749
147,"MOG-A","Moog Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",3026.08,17.66,90.25,1.28%,146358
148,"UMBF","UMB Financial Corporation","Financial","Regional - Southwest  Banks","USA",3350.93,16.84,68.85,0.06%,139637
149,"EGBN","Eagle Bancorp, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",1551.92,10.93,46.90,0.11%,130727
150,"RECN","Resources Connection, Inc.","Services","Staffing & Outsourcing Services","USA",507.37,16.70,15.95,1.40%,130053
151,"IIIV","i3 Verticals, Inc.","Technology","Business Software & Services","USA",778.92,,28.49,1.86%,129492
152,"WTS","Watts Water Technologies, Inc.","Industrial Goods","Industrial Equipment & Components","USA",3284.18,26.87,99.19,0.13%,128563
153,"EGAN","eGain Corporation","Technology","Business Software & Services","USA",234.96,49.62,7.84,2.89%,126524
154,"REPL","Replimune Group, Inc.","Healthcare","Biotechnology","USA",524.87,,15.28,0.46%,123438
155,"TDW","Tidewater Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",655.51,,17.01,0.06%,104718
156,"LIND","Lindblad Expeditions Holdings, Inc.","Consumer Goods","Recreational Goods, Other","USA",773.06,77.35,15.78,0.38%,102611
157,"EIG","Employers Holdings, Inc.","Financial","Accident & Health Insurance","USA",1360.60,9.42,43.29,0.74%,102422
