"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ANSS","ANSYS, Inc.","Technology","Application Software","USA",21454.52,49.95,255.08,-0.60%,1130018
2,"APAM","Artisan Partners Asset Management Inc.","Financial","Asset Management","USA",2303.73,12.32,30.02,-0.20%,301290
3,"ARVN","Arvinas, Inc.","Healthcare","Biotechnology","USA",2925.74,,38.87,1.17%,712746
4,"CMO","Capstead Mortgage Corporation","Real Estate","REIT-Mortgage","USA",743.54,,7.96,0.63%,394335
5,"DRH","DiamondRock Hospitality Company","Financial","REIT - Hotel/Motel","USA",2119.23,29.39,10.52,0.38%,1342515
6,"FTSV","Forty Seven, Inc.","Healthcare","Biotechnology","USA",1259.80,,30.43,110.73%,12422981
7,"GL","Globe Life Inc.","Financial","Life Insurance","USA",11120.45,15.78,103.91,0.59%,336320
8,"MAIN","Main Street Capital Corporation","Financial","Diversified Investments","USA",2726.78,23.31,43.20,0.58%,228731
9,"QRVO","Qorvo, Inc.","Technology","Semiconductor - Broad Line","USA",12719.36,52.74,108.44,1.71%,2193115
10,"ROAD","Construction Partners, Inc.","Industrial Goods","Heavy Construction","USA",1031.97,25.48,20.59,3.42%,566309
11,"STT","State Street Corporation","Financial","Asset Management","USA",28484.07,15.60,77.67,0.84%,4047907
12,"WOR","Worthington Industries, Inc.","Basic Materials","Steel & Iron","USA",2167.16,24.95,40.14,1.88%,244730
