signal,ticker,price,RSI,ATR
Buy,A,75.1,47.673241409296494,1.557965315385436
Buy,ABT,81.04,41.92299043555935,1.7996369588077137
Buy,ADP,158.89,44.18627789440315,2.8480104777926907
Buy,CAH,45.6,35.75273355310113,1.0466329609869494
Buy,GPC,94.54,39.69515861912691,1.9159420228134458
Buy,KKR,26.26,38.958136371386274,0.8943352529910701
Buy,MTN,225.26,41.23609258421088,6.683602095918545
Buy,STE,141.91,43.25543819535143,2.9886502674980657
Sell,CPIX,5.61,53.22779403777312,0.3992331514835782
Sell,KOF,60.35,46.0683506520515,1.4785453633380812
Sell,PDLI,2.35,69.25881115595705,0.10286620210695174
