,date,ticker,name,volume,model,signal,price,take_profit,stop_loss,exit,success,mean,median,tscore,trades,days
0,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,ADOSC[3_10]_crosses_0_level,Buy,85.35,86.32993911115798,83.39012177768402,1:2_ATR[20],0.8,0.006727798874959707,0.019163867476228478,1.1731879415021451,25,7.96
1,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,ADOSC[5_15]_crosses_0_level,Buy,85.35,86.32993911115798,84.370060888842,1:1_ATR[20],0.8235294117647058,0.013594794634332859,0.01864772127474646,3.7395396064269315,17,3.5294117647058822
2,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,ADOSC[5_15]_crosses_0_level,Buy,85.35,86.32993911115798,83.39012177768402,1:2_ATR[20],0.8235294117647058,0.010535578758893327,0.01864772127474646,2.021138344466211,17,3.9411764705882355
3,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,ADOSC[5_15]_crosses_0_level,Buy,85.35,86.32993911115798,82.41018266652603,1:3_ATR[20],0.8235294117647058,0.007476362883453808,0.01864772127474646,1.0971408686551154,17,4.882352941176471
4,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,ADOSC[5_15]_crosses_0_level,Buy,85.35,,,exit_after_1_days,0.7647058823529411,0.005176321841541703,0.007665184730951976,1.710455984599357,17,1.2352941176470589
5,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,BOP_crosses_0_level,Buy,85.35,86.32993911115798,82.41018266652603,1:3_ATR[20],0.7741935483870968,0.0036364443980257447,0.01827908015590797,1.2361246980503338,124,8.024193548387096
6,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,CMO[9]_crosses_0_level,Buy,85.35,,,exit_after_5_days,0.75,0.012337387374555675,0.013331193873921787,2.888810816819251,28,7.142857142857143
7,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,TRIMA[20]_price_crossover,Buy,85.35,86.32993911115798,83.39012177768402,1:2_ATR[20],0.7894736842105263,0.007135402933563279,0.019878912167437448,0.9946231615588373,19,8.631578947368421
8,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,TRIMA[20]_price_crossover,Buy,85.35,86.32993911115798,82.41018266652603,1:3_ATR[20],0.8421052631578947,0.009641359746208862,0.020795106283006765,1.3613482979074614,19,8.894736842105264
9,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,TRIMA[20]_price_crossover,Buy,85.35,,,exit_after_5_days,0.7894736842105263,0.014375196694600472,0.015598644301265825,3.148287378306809,19,7.105263157894737
10,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,WMA[10]_price_crossover,Buy,85.35,86.32993911115798,82.41018266652603,1:3_ATR[20],0.8292682926829268,0.007456183682223568,0.018255209347583814,1.5851029307264146,41,8.878048780487806
11,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,WMA[10]_price_crossover,Buy,85.35,,,exit_after_5_days,0.7560975609756098,0.011037983090193382,0.020715917745620767,2.154166409164718,41,7.146341463414634
12,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,WMA[5]_price_crossover,Buy,85.35,86.32993911115798,83.39012177768402,1:2_ATR[20],0.7638888888888888,0.006671027910748346,0.017633138715503063,2.183762174917325,72,5.652777777777778
13,2020-02-19T00:00:00.000Z,A,"Agilent Technologies, Inc.",4735045,WMA[5]_price_crossover,Buy,85.35,86.32993911115798,82.41018266652603,1:3_ATR[20],0.8055555555555556,0.005636694454881827,0.01796889331213108,1.5316472298567214,72,7.444444444444445
14,2020-02-19T00:00:00.000Z,AA,Alcoa Corp.,8683890,CCI[20]_crosses_100_(-100)_levels,Sell,16.7,15.720060888842008,18.65987822231598,1:2_ATR[20],0.7894736842105263,0.010712006651746184,0.03492494680993998,0.8614552698396645,19,8.578947368421053
15,2020-02-19T00:00:00.000Z,AAL,American Airlines Group Inc.,7975195,EMA[100]_price_crossover,Sell,28.33,27.350060888842005,30.28987822231598,1:2_ATR[20],0.875,0.019995633352704524,0.029758728056261362,3.189744581661103,24,8.208333333333334
16,2020-02-19T00:00:00.000Z,AAL,American Airlines Group Inc.,7975195,TRIMA[100]_price_crossover,Sell,28.33,27.350060888842005,31.269817333473974,1:3_ATR[20],0.9047619047619048,0.01969439187329797,0.029884788839111536,2.607637364818483,21,8.571428571428571
17,2020-02-19T00:00:00.000Z,AAN,"Aaron's,  Inc.",1059348,BBANDS[10_1_1]_counter_trend,Buy,56.15,57.12993911115799,54.19012177768401,1:2_ATR[20],0.8823529411764706,0.02041959387917595,0.029038897115810276,3.0873012027852083,17,5.9411764705882355
18,2020-02-19T00:00:00.000Z,AAN,"Aaron's,  Inc.",1059348,BBANDS[10_1_1]_counter_trend,Buy,56.15,57.12993911115799,53.21018266652602,1:3_ATR[20],0.8823529411764706,0.01726419018178274,0.029038897115810276,1.9850778272546352,17,5.9411764705882355
19,2020-02-19T00:00:00.000Z,AAN,"Aaron's,  Inc.",1059348,STOCHRSI[9_5_3]_K_crosses_80_20_levels,Buy,56.15,57.12993911115799,54.19012177768401,1:2_ATR[20],0.8947368421052632,0.019465989741836724,0.028248116812376795,3.3625872770984926,19,5.526315789473684
20,2020-02-19T00:00:00.000Z,AAN,"Aaron's,  Inc.",1059348,STOCHRSI[9_5_3]_K_crosses_80_20_levels,Buy,56.15,57.12993911115799,53.21018266652602,1:3_ATR[20],0.8947368421052632,0.016639846790773218,0.028248116812376795,2.1689734665739437,19,5.526315789473684
21,2020-02-19T00:00:00.000Z,AAON,"AAON, Inc.",85736,BBANDS[20_2_2]_breakout,Buy,57.14,58.11993911115799,55.180121777684015,1:2_ATR[20],0.8695652173913043,0.01619772640483103,0.0234106909602933,3.1049691311505874,23,7.391304347826087
22,2020-02-19T00:00:00.000Z,AAON,"AAON, Inc.",85736,BBANDS[20_2_2]_breakout,Buy,57.14,58.11993911115799,54.200182666526025,1:3_ATR[20],0.8695652173913043,0.013641923171847413,0.0234106909602933,1.9876671297498285,23,7.521739130434782
23,2020-02-19T00:00:00.000Z,AAON,"AAON, Inc.",85736,BOP_crosses_0_level,Buy,57.14,58.11993911115799,55.180121777684015,1:2_ATR[20],0.782258064516129,0.011590429351483193,0.02659895600994834,3.2114533599788393,124,8.17741935483871
24,2020-02-19T00:00:00.000Z,AAON,"AAON, Inc.",85736,EMA[5]_price_crossover,Buy,57.14,58.11993911115799,55.180121777684015,1:2_ATR[20],0.7794117647058824,0.012185649781553757,0.02705513532010457,2.56423856172566,68,7.102941176470588
